season,date,round,home_team,away_team,home_matches_before,away_matches_before,home_avg_goals_for,home_avg_goals_against,away_avg_goals_for,away_avg_goals_against,home_win_rate,away_win_rate,home_home_win_rate,away_away_win_rate,home_recent_points_5,away_recent_points_5,home_days_since_match,away_days_since_match,result,home_has_previous_match,away_has_previous_match,home_days_since_match_capped,away_days_since_match_capped
2010-11,2010-09-15,Group stage,CFR Cluj,Basel,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0
2010-11,2010-09-15,Group stage,Marseille,Spartak Moscow,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,A,0,0,0,0
2010-11,2010-09-15,Group stage,Milan,Auxerre,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0
2010-11,2010-09-15,Group stage,MŠK Žilina,Chelsea,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,A,0,0,0,0
2010-11,2010-09-15,Group stage,Real Madrid,Ajax,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0
2010-11,2010-09-15,Group stage,Shakhtar D.,Partizan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0
2010-11,2010-09-28,Group stage,Ajax,Milan,1,1,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0,3,13,13,D,1,1,13,13
2010-11,2010-09-28,Group stage,Auxerre,Real Madrid,1,1,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0,3,13,13,A,1,1,13,13
2010-11,2010-09-28,Group stage,Basel,Bayern Munich,1,1,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0,3,13,13,A,1,1,13,13
2010-11,2010-09-28,Group stage,Braga,Shakhtar D.,1,1,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0,3,13,13,A,1,1,13,13
2010-11,2010-09-28,Group stage,Chelsea,Marseille,1,1,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,0,13,13,H,1,1,13,13
2010-11,2010-09-28,Group stage,Partizan,Arsenal,1,1,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0,3,13,13,A,1,1,13,13
2010-11,2010-09-28,Group stage,Roma,CFR Cluj,1,1,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0,3,13,13,H,1,1,13,13
2010-11,2010-09-28,Group stage,Spartak Moscow,MŠK Žilina,1,1,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,3,0,13,13,H,1,1,13,13
2010-11,2010-09-29,Group stage,Hapoel Tel Aviv,Lyon,1,1,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0,3,15,15,A,1,1,15,15
2010-11,2010-09-29,Group stage,Inter,Werder Bremen,1,1,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1,1,15,15,H,1,1,15,15
2010-11,2010-09-29,Group stage,Panathinaikos,FC Copenhagen,1,1,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0,3,15,15,A,1,1,15,15
2010-11,2010-09-29,Group stage,Rangers,Bursaspor,1,1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1,0,15,15,H,1,1,15,15
2010-11,2010-09-29,Group stage,Rubin Kazan,Barcelona,1,1,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0,3,15,15,D,1,1,15,15
2010-11,2010-09-29,Group stage,Schalke 04,Benfica,1,1,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0,3,15,15,H,1,1,15,15
2010-11,2010-09-29,Group stage,Tottenham,Twente,1,1,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1,1,15,15,H,1,1,15,15
2010-11,2010-09-29,Group stage,Valencia,Manchester Utd,1,1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,1,15,15,A,1,1,15,15
2010-11,2010-10-19,Group stage,Ajax,Auxerre,2,2,0.5,1.5,0.0,1.5,0.0,0.0,0.0,0.0,1,0,21,21,H,1,1,21,21
2010-11,2010-10-19,Group stage,Arsenal,Shakhtar D.,2,2,4.5,0.5,2.0,0.0,1.0,1.0,1.0,1.0,6,6,21,21,H,1,1,21,21
2010-11,2010-10-19,Group stage,Bayern Munich,CFR Cluj,2,2,2.0,0.5,1.5,1.5,1.0,0.5,1.0,0.0,6,3,21,21,H,1,1,21,21
2010-11,2010-10-19,Group stage,Braga,Partizan,2,2,0.0,4.5,0.5,2.0,0.0,0.0,0.0,0.0,0,0,21,21,H,1,1,21,21
2010-11,2010-10-19,Group stage,Marseille,MŠK Žilina,2,2,0.0,1.5,0.5,3.5,0.0,0.0,0.0,0.0,0,0,21,21,H,1,1,21,21
2010-11,2010-10-19,Group stage,Real Madrid,Milan,2,2,1.5,0.0,1.5,0.5,1.0,0.5,1.0,0.0,6,4,21,21,H,1,1,21,21
2010-11,2010-10-19,Group stage,Roma,Basel,2,2,1.0,1.5,1.0,2.0,0.5,0.0,1.0,0.0,3,0,21,21,A,1,1,21,21
2010-11,2010-10-19,Group stage,Spartak Moscow,Chelsea,2,2,2.0,0.0,3.0,0.5,1.0,1.0,1.0,1.0,6,6,21,21,A,1,1,21,21
2010-11,2010-10-20,Group stage,Barcelona,FC Copenhagen,2,2,3.0,1.0,1.5,0.0,0.5,1.0,1.0,1.0,4,6,21,21,H,1,1,21,21
2010-11,2010-10-20,Group stage,Inter,Tottenham,2,2,3.0,1.0,3.0,1.5,0.5,0.5,1.0,0.0,4,4,21,21,H,1,1,21,21
2010-11,2010-10-20,Group stage,Lyon,Benfica,2,2,2.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,6,3,21,21,H,1,1,21,21
2010-11,2010-10-20,Group stage,Manchester Utd,Bursaspor,2,2,0.5,0.0,0.0,2.5,0.5,0.0,0.0,0.0,4,0,21,21,H,1,1,21,21
2010-11,2010-10-20,Group stage,Panathinaikos,Rubin Kazan,2,2,0.5,3.5,0.5,1.0,0.0,0.0,0.0,0.0,0,1,21,21,D,1,1,21,21
2010-11,2010-10-20,Group stage,Rangers,Valencia,2,2,0.5,0.0,2.0,0.5,0.5,0.5,1.0,1.0,4,3,21,21,D,1,1,21,21
2010-11,2010-10-20,Group stage,Schalke 04,Hapoel Tel Aviv,2,2,1.0,0.5,0.5,2.5,0.5,0.0,1.0,0.0,3,0,21,21,H,1,1,21,21
2010-11,2010-10-20,Group stage,Twente,Werder Bremen,2,2,1.5,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1,1,21,21,D,1,1,21,21
2010-11,2010-11-02,Group stage,Benfica,Lyon,3,3,0.6666666666666666,1.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,3,9,13,13,H,1,1,13,13
2010-11,2010-11-02,Group stage,Bursaspor,Manchester Utd,3,3,0.0,2.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,1.0,0,7,13,13,A,1,1,13,13
2010-11,2010-11-02,Group stage,FC Copenhagen,Barcelona,3,3,1.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,6,7,13,13,D,1,1,13,13
2010-11,2010-11-02,Group stage,Hapoel Tel Aviv,Schalke 04,3,3,0.6666666666666666,2.6666666666666665,1.6666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,6,13,13,D,1,1,13,13
2010-11,2010-11-02,Group stage,Rubin Kazan,Panathinaikos,3,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.0,0.0,0.0,0.0,2,1,13,13,D,1,1,13,13
2010-11,2010-11-02,Group stage,Tottenham,Inter,3,3,3.0,2.3333333333333335,3.3333333333333335,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.0,0.0,4,7,13,13,H,1,1,13,13
2010-11,2010-11-02,Group stage,Valencia,Rangers,3,3,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,4,5,13,13,H,1,1,13,13
2010-11,2010-11-02,Group stage,Werder Bremen,Twente,3,3,1.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,0.0,0.0,0.0,0.0,2,2,13,13,A,1,1,13,13
2010-11,2010-11-03,Group stage,Auxerre,Ajax,3,3,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,4,15,15,H,1,1,15,15
2010-11,2010-11-03,Group stage,Basel,Roma,3,3,1.6666666666666667,1.6666666666666667,1.0,2.0,0.3333333333333333,0.3333333333333333,0.0,0.0,3,3,15,15,A,1,1,15,15
2010-11,2010-11-03,Group stage,CFR Cluj,Bayern Munich,3,3,1.6666666666666667,2.0,2.3333333333333335,1.0,0.3333333333333333,1.0,1.0,1.0,3,9,15,15,A,1,1,15,15
2010-11,2010-11-03,Group stage,Chelsea,Spartak Moscow,3,3,2.6666666666666665,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,9,6,15,15,H,1,1,15,15
2010-11,2010-11-03,Group stage,Milan,Real Madrid,3,3,1.0,1.0,1.6666666666666667,0.0,0.3333333333333333,1.0,1.0,1.0,4,9,15,15,D,1,1,15,15
2010-11,2010-11-03,Group stage,MŠK Žilina,Marseille,3,3,0.3333333333333333,2.6666666666666665,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.0,0,3,15,15,A,1,1,15,15
2010-11,2010-11-03,Group stage,Partizan,Braga,3,3,0.3333333333333333,2.0,0.6666666666666666,3.0,0.0,0.3333333333333333,0.0,0.0,0,3,15,15,A,1,1,15,15
2010-11,2010-11-03,Group stage,Shakhtar D.,Arsenal,3,3,1.6666666666666667,1.6666666666666667,4.666666666666667,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,6,9,15,15,H,1,1,15,15
2010-11,2010-11-23,Group stage,Ajax,Real Madrid,4,4,1.0,1.5,1.75,0.5,0.25,0.75,0.5,0.5,4,10,20,20,A,1,1,20,20
2010-11,2010-11-23,Group stage,Auxerre,Milan,4,4,0.75,1.5,1.25,1.25,0.25,0.25,0.5,0.0,3,5,20,20,A,1,1,20,20
2010-11,2010-11-23,Group stage,Basel,CFR Cluj,4,4,1.75,2.0,1.25,2.5,0.25,0.25,0.0,0.0,3,3,20,20,H,1,1,20,20
2010-11,2010-11-23,Group stage,Braga,Arsenal,4,4,0.75,2.25,3.75,1.0,0.5,0.75,0.5,0.5,6,9,20,20,H,1,1,20,20
2010-11,2010-11-23,Group stage,Chelsea,MŠK Žilina,4,4,3.0,0.5,0.25,3.75,1.0,0.0,1.0,0.0,12,0,20,20,H,1,1,20,20
2010-11,2010-11-23,Group stage,Partizan,Shakhtar D.,4,4,0.25,1.75,1.75,1.5,0.0,0.75,0.0,0.5,0,9,20,20,A,1,1,20,20
2010-11,2010-11-23,Group stage,Roma,Bayern Munich,4,4,1.5,2.0,2.75,0.75,0.5,1.0,0.5,1.0,6,12,20,20,H,1,1,20,20
2010-11,2010-11-23,Group stage,Spartak Moscow,Marseille,4,4,1.25,1.5,2.0,0.75,0.5,0.5,0.5,0.5,6,6,20,20,A,1,1,20,20
2010-11,2010-11-24,Group stage,Hapoel Tel Aviv,Benfica,4,4,0.5,2.0,1.5,1.75,0.0,0.5,0.0,0.0,1,6,22,22,H,1,1,22,22
2010-11,2010-11-24,Group stage,Inter,Twente,4,4,2.75,2.0,1.5,1.75,0.5,0.25,1.0,0.5,7,5,22,22,H,1,1,22,22
2010-11,2010-11-24,Group stage,Panathinaikos,Barcelona,4,4,0.25,1.75,2.25,0.75,0.0,0.5,0.0,0.0,2,8,22,22,A,1,1,22,22
2010-11,2010-11-24,Group stage,Rangers,Manchester Utd,4,4,0.5,1.0,1.25,0.0,0.25,0.75,0.5,1.0,5,10,22,22,A,1,1,22,22
2010-11,2010-11-24,Group stage,Rubin Kazan,FC Copenhagen,4,4,0.25,0.5,1.0,0.75,0.0,0.5,0.0,0.5,3,7,22,22,H,1,1,22,22
2010-11,2010-11-24,Group stage,Schalke 04,Lyon,4,4,1.25,0.5,2.25,1.25,0.5,0.75,1.0,0.5,7,9,22,22,H,1,1,22,22
2010-11,2010-11-24,Group stage,Tottenham,Werder Bremen,4,4,3.0,2.0,0.75,2.25,0.5,0.0,1.0,0.0,7,2,22,22,H,1,1,22,22
2010-11,2010-11-24,Group stage,Valencia,Bursaspor,4,4,2.0,0.5,0.0,2.25,0.5,0.0,0.5,0.0,7,0,22,22,H,1,1,22,22
2010-11,2010-12-07,Group stage,Barcelona,Rubin Kazan,5,5,2.4,0.6,0.4,0.4,0.6,0.2,1.0,0.0,11,6,13,13,H,1,1,13,13
2010-11,2010-12-07,Group stage,Benfica,Schalke 04,5,5,1.2,2.0,1.6,0.4,0.4,0.6,1.0,0.0,6,10,13,13,A,1,1,13,13
2010-11,2010-12-07,Group stage,Bursaspor,Rangers,5,5,0.2,3.0,0.4,1.0,0.0,0.2,0.0,0.0,0,5,13,13,D,1,1,13,13
2010-11,2010-12-07,Group stage,FC Copenhagen,Panathinaikos,5,5,0.8,0.8,0.2,2.0,0.4,0.0,0.5,0.0,7,2,13,13,H,1,1,13,13
2010-11,2010-12-07,Group stage,Lyon,Hapoel Tel Aviv,5,5,1.8,1.6,1.0,1.6,0.6,0.2,1.0,0.0,9,4,13,13,D,1,1,13,13
2010-11,2010-12-07,Group stage,Manchester Utd,Valencia,5,5,1.2,0.0,2.8,0.6,0.8,0.6,0.5,0.5,13,10,13,13,D,1,1,13,13
2010-11,2010-12-07,Group stage,Twente,Tottenham,5,5,1.2,1.6,3.0,1.6,0.2,0.6,0.0,0.0,5,10,13,13,D,1,1,13,13
2010-11,2010-12-07,Group stage,Werder Bremen,Inter,5,5,0.6,2.4,2.4,1.6,0.0,0.6,0.0,0.0,2,10,13,13,H,1,1,13,13
2010-11,2010-12-08,Group stage,Arsenal,Partizan,5,5,3.0,1.2,0.2,2.0,0.6,0.0,1.0,0.0,9,0,15,15,H,1,1,15,15
2010-11,2010-12-08,Group stage,Bayern Munich,Basel,5,5,2.6,1.2,1.6,1.6,0.8,0.4,1.0,0.5,12,6,15,15,H,1,1,15,15
2010-11,2010-12-08,Group stage,CFR Cluj,Roma,5,5,1.0,2.2,1.8,2.0,0.2,0.6,0.5,0.5,3,9,15,15,D,1,1,15,15
2010-11,2010-12-08,Group stage,Marseille,Chelsea,5,5,2.2,0.6,2.8,0.6,0.6,1.0,0.5,1.0,9,15,15,15,H,1,1,15,15
2010-11,2010-12-08,Group stage,Milan,Ajax,5,5,1.4,1.0,0.8,2.0,0.4,0.2,0.5,0.0,8,4,15,15,A,1,1,15,15
2010-11,2010-12-08,Group stage,MŠK Žilina,Spartak Moscow,5,5,0.4,3.4,1.0,1.8,0.0,0.4,0.0,0.5,0,6,15,15,A,1,1,15,15
2010-11,2010-12-08,Group stage,Real Madrid,Auxerre,5,5,2.2,0.4,0.6,1.6,0.8,0.2,1.0,0.0,13,3,15,15,H,1,1,15,15
2010-11,2010-12-08,Group stage,Shakhtar D.,Braga,5,5,2.0,1.2,1.0,1.8,0.8,0.6,1.0,0.5,12,9,15,15,H,1,1,15,15
2010-11,2011-02-15,Round of 16,Milan,Tottenham,6,6,1.1666666666666667,1.1666666666666667,3.0,1.8333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.0,5,10,69,70,A,1,1,69,70
2010-11,2011-02-15,Round of 16,Valencia,Schalke 04,6,6,2.5,0.6666666666666666,1.6666666666666667,0.5,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,8,13,70,70,D,1,1,70,70
2010-11,2011-02-16,Round of 16,Arsenal,Barcelona,6,6,3.0,1.1666666666666667,2.3333333333333335,0.5,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,9,11,70,71,H,1,1,70,71
2010-11,2011-02-16,Round of 16,Roma,Shakhtar D.,6,6,1.6666666666666667,1.8333333333333333,2.0,1.0,0.5,0.8333333333333334,0.6666666666666666,0.6666666666666666,10,12,70,70,A,1,1,70,70
2010-11,2011-02-22,Round of 16,FC Copenhagen,Chelsea,6,6,1.1666666666666667,0.8333333333333334,2.3333333333333335,0.6666666666666666,0.5,0.8333333333333334,0.6666666666666666,0.6666666666666666,7,12,77,76,A,1,1,77,76
2010-11,2011-02-22,Round of 16,Lyon,Real Madrid,6,6,1.8333333333333333,1.6666666666666667,2.5,0.3333333333333333,0.5,0.8333333333333334,0.6666666666666666,0.6666666666666666,7,13,77,76,D,1,1,77,76
2010-11,2011-02-23,Round of 16,Inter,Bayern Munich,6,6,2.0,1.8333333333333333,2.6666666666666665,1.0,0.5,0.8333333333333334,1.0,0.6666666666666666,9,12,78,77,A,1,1,78,77
2010-11,2011-02-23,Round of 16,Marseille,Manchester Utd,6,6,2.0,0.5,1.1666666666666667,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,12,13,77,78,D,1,1,77,78
2010-11,2011-03-08,Round of 16,Barcelona,Arsenal,7,7,2.142857142857143,0.7142857142857143,2.857142857142857,1.1428571428571428,0.5714285714285714,0.7142857142857143,1.0,0.3333333333333333,10,9,20,20,H,1,1,20,20
2010-11,2011-03-08,Round of 16,Shakhtar D.,Roma,7,7,2.142857142857143,1.1428571428571428,1.7142857142857142,2.0,0.8571428571428571,0.42857142857142855,1.0,0.3333333333333333,12,7,20,20,H,1,1,20,20
2010-11,2011-03-09,Round of 16,Schalke 04,Valencia,7,7,1.5714285714285714,0.5714285714285714,2.2857142857142856,0.7142857142857143,0.5714285714285714,0.42857142857142855,1.0,0.3333333333333333,11,9,22,22,H,1,1,22,22
2010-11,2011-03-09,Round of 16,Tottenham,Milan,7,7,2.7142857142857144,1.5714285714285714,1.0,1.1428571428571428,0.5714285714285714,0.2857142857142857,1.0,0.3333333333333333,10,4,22,22,D,1,1,22,22
2010-11,2011-03-15,Round of 16,Bayern Munich,Inter,7,7,2.4285714285714284,0.8571428571428571,1.7142857142857142,1.7142857142857142,0.8571428571428571,0.42857142857142855,1.0,0.0,12,6,20,20,A,1,1,20,20
2010-11,2011-03-15,Round of 16,Manchester Utd,Marseille,7,7,1.0,0.14285714285714285,1.7142857142857142,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.6666666666666666,11,13,20,20,H,1,1,20,20
2010-11,2011-03-16,Round of 16,Chelsea,FC Copenhagen,7,7,2.2857142857142856,0.5714285714285714,1.0,1.0,0.8571428571428571,0.42857142857142855,1.0,0.3333333333333333,12,4,22,22,D,1,1,22,22
2010-11,2011-03-16,Round of 16,Real Madrid,Lyon,7,7,2.2857142857142856,0.42857142857142855,1.7142857142857142,1.5714285714285714,0.7142857142857143,0.42857142857142855,1.0,0.3333333333333333,11,5,22,22,H,1,1,22,22
2010-11,2011-04-05,Quarter-finals,Inter,Schalke 04,8,8,1.875,1.75,1.75,0.625,0.5,0.625,0.75,0.25,6,11,21,27,A,1,1,21,27
2010-11,2011-04-05,Quarter-finals,Real Madrid,Tottenham,8,8,2.375,0.375,2.375,1.375,0.75,0.5,1.0,0.25,11,11,20,27,H,1,1,20,27
2010-11,2011-04-06,Quarter-finals,Barcelona,Shakhtar D.,8,8,2.25,0.75,2.25,1.0,0.625,0.875,1.0,0.75,10,15,29,29,H,1,1,29,29
2010-11,2011-04-06,Quarter-finals,Chelsea,Manchester Utd,8,8,2.0,0.5,1.125,0.25,0.75,0.625,0.75,0.75,10,11,21,22,A,1,1,21,22
2010-11,2011-04-12,Quarter-finals,Manchester Utd,Chelsea,9,9,1.1111111111111112,0.2222222222222222,1.7777777777777777,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.5,0.75,11,7,6,6,H,1,1,6,6
2010-11,2011-04-12,Quarter-finals,Shakhtar D.,Barcelona,9,9,2.111111111111111,1.4444444444444444,2.5555555555555554,0.7777777777777778,0.7777777777777778,0.6666666666666666,1.0,0.25,12,12,6,6,A,1,1,6,6
2010-11,2011-04-13,Quarter-finals,Schalke 04,Inter,9,9,2.111111111111111,0.7777777777777778,1.8888888888888888,2.111111111111111,0.6666666666666666,0.4444444444444444,1.0,0.25,13,6,8,8,H,1,1,8,8
2010-11,2011-04-13,Quarter-finals,Tottenham,Real Madrid,9,9,2.111111111111111,1.6666666666666667,2.5555555555555554,0.3333333333333333,0.4444444444444444,0.7777777777777778,0.75,0.5,8,13,8,8,A,1,1,8,8
2010-11,2011-04-26,Semi-finals,Schalke 04,Manchester Utd,10,10,2.1,0.8,1.2,0.3,0.7,0.7,1.0,0.8,13,11,13,14,A,1,1,13,14
2010-11,2011-04-27,Semi-finals,Real Madrid,Barcelona,10,10,2.4,0.3,2.4,0.7,0.8,0.7,1.0,0.4,13,12,14,15,A,1,1,14,15
2010-11,2011-05-03,Semi-finals,Barcelona,Real Madrid,11,11,2.3636363636363638,0.6363636363636364,2.1818181818181817,0.45454545454545453,0.7272727272727273,0.7272727272727273,1.0,0.6,12,10,6,6,D,1,1,6,6
2010-11,2011-05-04,Semi-finals,Manchester Utd,Schalke 04,11,11,1.2727272727272727,0.2727272727272727,1.9090909090909092,0.9090909090909091,0.7272727272727273,0.6363636363636364,0.6,0.4,13,10,8,8,H,1,1,8,8
2010-11,2011-05-28,Final,Barcelona,Manchester Utd,12,12,2.25,0.6666666666666666,1.5,0.3333333333333333,0.6666666666666666,0.75,0.8333333333333334,0.8333333333333334,13,15,25,24,H,1,1,25,24
2011-12,2011-09-13,Group stage,APOEL FC,Zenit,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0
2011-12,2011-09-13,Group stage,Barcelona,Milan,13,8,2.3076923076923075,0.6923076923076923,0.875,1.0,0.6923076923076923,0.25,0.8571428571428571,0.25,13,5,108,188,D,1,1,108,188
2011-12,2011-09-13,Group stage,Chelsea,Leverkusen,10,0,1.7,0.7,0.0,0.0,0.6,0.0,0.6,0.0,4,0,154,-1,H,1,0,154,0
2011-12,2011-09-13,Group stage,Dortmund,Arsenal,0,8,0.0,0.0,2.625,1.375,0.0,0.625,0.0,0.25,0,6,-1,189,D,0,1,0,189
2011-12,2011-09-13,Group stage,Genk,Valencia,0,8,0.0,0.0,2.125,1.0,0.0,0.375,0.0,0.25,0,8,-1,188,D,0,1,0,188
2011-12,2011-09-13,Group stage,Olympiacos,Marseille,0,8,0.0,0.0,1.625,0.625,0.0,0.5,0.0,0.5,0,10,-1,182,A,0,1,0,182
2011-12,2011-09-13,Group stage,Porto,Shakhtar D.,0,10,0.0,0.0,1.9,1.4,0.0,0.7,0.0,0.6,0,9,-1,154,H,0,1,0,154
2011-12,2011-09-13,Group stage,Viktoria Plzeň,BATE Borisov,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,D,0,0,0,0
2011-12,2011-09-14,Group stage,Ajax,Lyon,6,8,1.0,1.6666666666666667,1.5,1.75,0.3333333333333333,0.375,0.3333333333333333,0.25,7,2,280,182,D,1,1,280,182
2011-12,2011-09-14,Group stage,Basel,Oțelul Galați,6,0,1.3333333333333333,1.8333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,6,0,280,-1,H,1,0,280,0
2011-12,2011-09-14,Group stage,Benfica,Manchester Utd,6,13,1.1666666666666667,2.0,1.4615384615384615,0.5384615384615384,0.3333333333333333,0.6923076923076923,0.6666666666666666,0.7142857142857143,3,12,281,109,D,1,1,281,109
2011-12,2011-09-14,Group stage,Dinamo Zagreb,Real Madrid,0,12,0.0,0.0,2.0833333333333335,0.5,0.0,0.6666666666666666,0.0,0.5,0,10,-1,134,A,0,1,0,134
2011-12,2011-09-14,Group stage,Inter,Trabzonspor,10,0,1.8,2.1,0.0,0.0,0.4,0.0,0.6,0.0,3,0,154,-1,A,1,0,154,0
2011-12,2011-09-14,Group stage,Lille,CSKA Moscow,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,D,0,0,0,0
2011-12,2011-09-14,Group stage,Manchester City,Napoli,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,D,0,0,0,0
2011-12,2011-09-14,Group stage,Villarreal,Bayern Munich,0,8,0.0,0.0,2.375,1.125,0.0,0.75,0.0,0.75,0,9,-1,183,A,0,1,0,183
2011-12,2011-09-27,Group stage,Bayern Munich,Manchester City,9,1,2.3333333333333335,1.0,1.0,1.0,0.7777777777777778,0.0,0.75,0.0,9,1,13,13,H,1,1,13,13
2011-12,2011-09-27,Group stage,CSKA Moscow,Inter,1,11,2.0,2.0,1.6363636363636365,2.0,0.0,0.36363636363636365,0.0,0.2,1,3,13,13,A,1,1,13,13
2011-12,2011-09-27,Group stage,Lyon,Dinamo Zagreb,9,1,1.3333333333333333,1.5555555555555556,0.0,1.0,0.3333333333333333,0.0,0.5,0.0,3,0,13,13,H,1,1,13,13
2011-12,2011-09-27,Group stage,Manchester Utd,Basel,14,7,1.4285714285714286,0.5714285714285714,1.4285714285714286,1.7142857142857142,0.6428571428571429,0.42857142857142855,0.6666666666666666,0.3333333333333333,10,9,13,13,D,1,1,13,13
2011-12,2011-09-27,Group stage,Napoli,Villarreal,1,1,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1,0,13,13,H,1,1,13,13
2011-12,2011-09-27,Group stage,Oțelul Galați,Benfica,1,7,1.0,2.0,1.1428571428571428,1.8571428571428572,0.0,0.2857142857142857,0.0,0.0,0,4,13,13,A,1,1,13,13
